validation_accuracy,validation_f1_weighted,validation_f1_macro
0.9915141096216098,0.5643564356435644,0.5643564356435644
0.9911483384846101,0.5879518072289157,0.5879518072289157
0.9920810548839591,0.6915422885572139,0.6915422885572139
0.9925565573620586,0.7314578005115089,0.7314578005115089
0.9924102489072587,0.7376237623762376,0.7376237623762376
0.9927943086011083,0.7611548556430445,0.7611548556430445
0.9928125971579582,0.7545219638242895,0.7545219638242895
0.993013771283308,0.7716535433070866,0.7716535433070866
0.9933978309771576,0.75,0.75
0.9933063881929077,0.7598944591029023,0.7598944591029023
0.9932515225223577,0.7539267015706806,0.7539267015706806
0.9933978309771576,0.7671957671957672,0.7671957671957672
0.9930686369538579,0.7639257294429709,0.7639257294429709
0.9931417911812579,0.7708894878706198,0.7708894878706198
